18:34:16 | INFO | Приложение запущено 
18:34:43 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
18:34:47 | INFO | Успешный вход пользователя с id 1 
18:46:26 | INFO | Приложение запущено 
18:48:12 | INFO | Приложение запущено 
18:50:17 | INFO | Приложение запущено 
19:01:59 | INFO | Приложение запущено 
19:21:01 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:21:04 | INFO | Успешный вход пользователя с id 1 
19:33:19 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:33:19 | INFO | Успешный вход пользователя с id 1 
19:35:28 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:35:28 | INFO | Успешный вход пользователя с id 1 
19:36:47 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:36:47 | INFO | Успешный вход пользователя с id 1 
19:38:46 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:38:46 | INFO | Успешный вход пользователя с id 1 
19:39:47 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:39:47 | INFO | Успешный вход пользователя с id 1 
19:44:16 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:44:16 | INFO | Успешный вход пользователя с id 1 
19:44:43 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:44:43 | INFO | Успешный вход пользователя с id 1 
19:45:04 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:45:04 | INFO | Успешный вход пользователя с id 1 
19:45:43 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:45:43 | INFO | Успешный вход пользователя с id 1 
19:46:23 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:46:23 | INFO | Успешный вход пользователя с id 1 
19:46:57 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:46:57 | INFO | Успешный вход пользователя с id 1 
19:47:18 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:47:18 | INFO | Успешный вход пользователя с id 1 
19:47:43 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:47:43 | INFO | Успешный вход пользователя с id 1 
19:48:00 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:48:00 | INFO | Успешный вход пользователя с id 1 
19:48:18 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:48:18 | INFO | Успешный вход пользователя с id 1 
19:48:42 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:48:42 | INFO | Успешный вход пользователя с id 1 
19:48:59 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:48:59 | INFO | Успешный вход пользователя с id 1 
19:49:23 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:49:23 | INFO | Успешный вход пользователя с id 1 
19:50:07 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:50:07 | INFO | Успешный вход пользователя с id 1 
19:50:58 | WARN | Тип логгера: Microsoft.Extensions.Logging.Logger`1[TimeTrackerServerTest.Controllers.AccountController] 
19:50:58 | INFO | Успешный вход пользователя с id 1 
